gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	recordedByID	identifiedByID	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name
1836813977																										TWBBS_2016_C37-05_01_01:014518										CC_BY_NC_4_0																		Event									HUMAN_OBSERVATION				TWBBS_2016_C37-05_01_01:014518			廖俊傑	2								PRESENT							NA									TWBBS_2016_C37-05_01_01	TWBBS_2016_C37-05		2016-04-18T00:00:00	08:31+0800			2016	4	18			Point count	6 observer-minutes	31415.93	square metre			C37-05_01							TW				塔塔加								23.491426	120.891705	100.0	1.0E-5																																															Regulus goodfellowi Ogilvie-Grant, 1906								Animalia	Chordata	Aves	Passeriformes	Regulidae	Regulus		goodfellowi		SPECIES		火冠戴菊鳥		ACCEPTED			f170f056-3f8a-4ef3-ac9f-4503cc854ce0	TW	2020-11-26T17:07:12.769Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT		true	false	2484590	2484590	1	44	212	729	5279	2484589		2484590	Regulus goodfellowi	Regulus	Regulus goodfellowi Ogilvie-Grant, 1906	Regulus goodfellowi		DWC_ARCHIVE	2020-11-26T17:07:12.769Z	2020-11-26T00:16:41.110Z	false				TWN	Taiwan	TWN.7_1	Taiwan	TWN.7.9_1	Nantou		
1836813884																										TWBBS_2016_C37-05_01_02:014804										CC_BY_NC_4_0																		Event									HUMAN_OBSERVATION				TWBBS_2016_C37-05_01_02:014804			廖俊傑	2								PRESENT							NA									TWBBS_2016_C37-05_01_02	TWBBS_2016_C37-05		2016-06-23T00:00:00	07:21+0800			2016	6	23			Point count	6 observer-minutes	31415.93	square metre			C37-05_01							TW				塔塔加								23.491426	120.891705	100.0	1.0E-5																																															Brachypteryx montana Horsfield, 1821								Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Brachypteryx		montana		SPECIES		小翼鶇		ACCEPTED			f170f056-3f8a-4ef3-ac9f-4503cc854ce0	TW	2020-11-26T17:07:12.949Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT		true	false	5230996	5230996	1	44	212	729	9322	2490857		5230996	Brachypteryx montana	Brachypteryx	Brachypteryx montana Horsfield, 1821	Brachypteryx montana		DWC_ARCHIVE	2020-11-26T17:07:12.949Z	2020-11-26T00:16:41.110Z	false				TWN	Taiwan	TWN.7_1	Taiwan	TWN.7.9_1	Nantou		
1836813806																										TWBBS_2016_C37-04_01_02:014868										CC_BY_NC_4_0																		Event									HUMAN_OBSERVATION				TWBBS_2016_C37-04_01_02:014868			廖俊傑	2								PRESENT							NA									TWBBS_2016_C37-04_01_02	TWBBS_2016_C37-04		2016-06-23T00:00:00	08:24+0800			2016	6	23			Point count	6 observer-minutes	31415.93	square metre			C37-04_01							TW				塔塔加鞍部								23.521923	120.895078	100.0	1.0E-5																																															Cuculus optatus Gould, 1845								Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Cuculus		optatus		SPECIES		北方中杜鵑		ACCEPTED			f170f056-3f8a-4ef3-ac9f-4503cc854ce0	TW	2020-11-26T17:07:12.771Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT		true	false	5231898	5231898	1	44	212	1492	9309	2336662		5231898	Cuculus optatus	Cuculus	Cuculus optatus Gould, 1845	Cuculus optatus		DWC_ARCHIVE	2020-11-26T17:07:12.771Z	2020-11-26T00:16:41.110Z	false				TWN	Taiwan	TWN.7_1	Taiwan	TWN.7.9_1	Nantou		
1836813784																										TWBBS_2016_C37-04_01_01:014586										CC_BY_NC_4_0																		Event									HUMAN_OBSERVATION				TWBBS_2016_C37-04_01_01:014586			廖俊傑	1								PRESENT							NA									TWBBS_2016_C37-04_01_01	TWBBS_2016_C37-04		2016-04-17T00:00:00	06:17+0800			2016	4	17			Point count	6 observer-minutes	31415.93	square metre			C37-04_01							TW				塔塔加鞍部								23.479172	120.891891	100.0	1.0E-5																																															Troglodytes troglodytes (Linnaeus, 1758)								Animalia	Chordata	Aves	Passeriformes	Troglodytidae	Troglodytes		troglodytes		SPECIES		鷦鷯		ACCEPTED			f170f056-3f8a-4ef3-ac9f-4503cc854ce0	TW	2020-11-26T17:07:12.768Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT		true	false	5231438	5231438	1	44	212	729	9355	2493899		5231438	Troglodytes troglodytes	Troglodytes	Troglodytes troglodytes (Linnaeus, 1758)	Troglodytes troglodytes		DWC_ARCHIVE	2020-11-26T17:07:12.768Z	2020-11-26T00:16:41.110Z	false				TWN	Taiwan	TWN.7_1	Taiwan	TWN.7.9_1	Nantou		
1836812913																										TWBBS_2016_C30-04_02_02:043410										CC_BY_NC_4_0																		Event									HUMAN_OBSERVATION				TWBBS_2016_C30-04_02_02:043410			蘇美如	2								PRESENT							NA									TWBBS_2016_C30-04_02_02	TWBBS_2016_C30-04		2016-06-22T00:00:00	07:01+0800			2016	6	22			Point count	6 observer-minutes	31415.93	square metre			C30-04_02							TW				昆陽								24.118937	121.25716	100.0	1.0E-5																																															Muscicapa ferruginea (Hodgson, 1845)								Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Muscicapa		ferruginea		SPECIES		紅尾鶲		ACCEPTED			f170f056-3f8a-4ef3-ac9f-4503cc854ce0	TW	2020-11-26T17:07:12.445Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT		true	false	2492579	2492579	1	44	212	729	9322	2483240		2492579	Muscicapa ferruginea	Muscicapa	Muscicapa ferruginea (Hodgson, 1845)	Muscicapa ferruginea		DWC_ARCHIVE	2020-11-26T17:07:12.445Z	2020-11-26T00:16:41.110Z	false				TWN	Taiwan	TWN.7_1	Taiwan	TWN.7.9_1	Nantou		
1836812905																										TWBBS_2016_C30-04_01_02:043408										CC_BY_NC_4_0																		Event									HUMAN_OBSERVATION				TWBBS_2016_C30-04_01_02:043408			蘇美如	1								PRESENT							NA									TWBBS_2016_C30-04_01_02	TWBBS_2016_C30-04		2016-05-19T00:00:00	05:06+0800			2016	5	19			Point count	6 observer-minutes	31415.93	square metre			C30-04_01							TW				昆陽								24.005897	120.672559	100.0	1.0E-5																																															Cuculus optatus Gould, 1845								Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Cuculus		optatus		SPECIES		北方中杜鵑		ACCEPTED			f170f056-3f8a-4ef3-ac9f-4503cc854ce0	TW	2020-11-26T17:07:12.625Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT		true	false	5231898	5231898	1	44	212	1492	9309	2336662		5231898	Cuculus optatus	Cuculus	Cuculus optatus Gould, 1845	Cuculus optatus		DWC_ARCHIVE	2020-11-26T17:07:12.625Z	2020-11-26T00:16:41.110Z	false				TWN	Taiwan	TWN.7_1	Taiwan	TWN.7.1_1	Changhua		
1836812893																										TWBBS_2016_C30-04_01_02:043406										CC_BY_NC_4_0																		Event									HUMAN_OBSERVATION				TWBBS_2016_C30-04_01_02:043406			蘇美如	1								PRESENT							NA									TWBBS_2016_C30-04_01_02	TWBBS_2016_C30-04		2016-05-19T00:00:00	05:06+0800			2016	5	19			Point count	6 observer-minutes	31415.93	square metre			C30-04_01							TW				昆陽								24.005897	120.672559	100.0	1.0E-5																																															Trochalopteron morrisonianum Ogilvie-Grant, 1906								Animalia	Chordata	Aves	Passeriformes	Leiothrichidae	Trochalopteron		morrisonianum		SPECIES		台灣噪眉		ACCEPTED			f170f056-3f8a-4ef3-ac9f-4503cc854ce0	TW	2020-11-26T17:07:12.537Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT		true	false	6101127	6101127	1	44	212	729	6101112	4843643		6101127	Trochalopteron morrisonianum	Trochalopteron	Trochalopteron morrisonianum Ogilvie-Grant, 1906	Trochalopteron morrisonianum		DWC_ARCHIVE	2020-11-26T17:07:12.537Z	2020-11-26T00:16:41.110Z	false				TWN	Taiwan	TWN.7_1	Taiwan	TWN.7.1_1	Changhua		
1836812885																										TWBBS_2016_C30-04_02_02:043413										CC_BY_NC_4_0																		Event									HUMAN_OBSERVATION				TWBBS_2016_C30-04_02_02:043413			蘇美如	1								PRESENT							NA									TWBBS_2016_C30-04_02_02	TWBBS_2016_C30-04		2016-06-22T00:00:00	07:01+0800			2016	6	22			Point count	6 observer-minutes	31415.93	square metre			C30-04_02							TW				昆陽								24.118937	121.25716	100.0	1.0E-5																																															Tarsiger indicus (Vieillot, 1817)								Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Tarsiger		indicus		SPECIES		白眉林鴝		ACCEPTED			f170f056-3f8a-4ef3-ac9f-4503cc854ce0	TW	2020-11-26T17:07:12.767Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT		true	false	2492512	2492512	1	44	212	729	9322	2492508		2492512	Tarsiger indicus	Tarsiger	Tarsiger indicus (Vieillot, 1817)	Tarsiger indicus		DWC_ARCHIVE	2020-11-26T17:07:12.767Z	2020-11-26T00:16:41.110Z	false				TWN	Taiwan	TWN.7_1	Taiwan	TWN.7.9_1	Nantou		
1836812881																										TWBBS_2016_C30-04_01_02:043403										CC_BY_NC_4_0																		Event									HUMAN_OBSERVATION				TWBBS_2016_C30-04_01_02:043403			蘇美如	1								PRESENT							NA									TWBBS_2016_C30-04_01_02	TWBBS_2016_C30-04		2016-05-19T00:00:00	05:06+0800			2016	5	19			Point count	6 observer-minutes	31415.93	square metre			C30-04_01							TW				昆陽								24.005897	120.672559	100.0	1.0E-5																																															Tarsiger indicus (Vieillot, 1817)								Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Tarsiger		indicus		SPECIES		白眉林鴝		ACCEPTED			f170f056-3f8a-4ef3-ac9f-4503cc854ce0	TW	2020-11-26T17:07:12.317Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT		true	false	2492512	2492512	1	44	212	729	9322	2492508		2492512	Tarsiger indicus	Tarsiger	Tarsiger indicus (Vieillot, 1817)	Tarsiger indicus		DWC_ARCHIVE	2020-11-26T17:07:12.317Z	2020-11-26T00:16:41.110Z	false				TWN	Taiwan	TWN.7_1	Taiwan	TWN.7.1_1	Changhua		
1836812874																										TWBBS_2016_C30-04_02_02:043412										CC_BY_NC_4_0																		Event									HUMAN_OBSERVATION				TWBBS_2016_C30-04_02_02:043412			蘇美如	1								PRESENT							NA									TWBBS_2016_C30-04_02_02	TWBBS_2016_C30-04		2016-06-22T00:00:00	07:01+0800			2016	6	22			Point count	6 observer-minutes	31415.93	square metre			C30-04_02							TW				昆陽								24.118937	121.25716	100.0	1.0E-5																																															Yuhina brunneiceps Ogilvie-Grant, 1906								Animalia	Chordata	Aves	Passeriformes	Zosteropidae	Yuhina		brunneiceps		SPECIES		冠羽畫眉		ACCEPTED			f170f056-3f8a-4ef3-ac9f-4503cc854ce0	TW	2020-11-26T17:07:13.017Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT		true	false	2493183	2493183	1	44	212	729	9359	2493176		2493183	Yuhina brunneiceps	Yuhina	Yuhina brunneiceps Ogilvie-Grant, 1906	Yuhina brunneiceps		DWC_ARCHIVE	2020-11-26T17:07:13.017Z	2020-11-26T00:16:41.110Z	false				TWN	Taiwan	TWN.7_1	Taiwan	TWN.7.9_1	Nantou		
