gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
1836813977																										TWBBS_2016_C37-05_01_01:014518																												Event									HumanObservation				TWBBS_2016_C37-05_01_01:014518			廖俊傑	2																NA									TWBBS_2016_C37-05_01_01	TWBBS_2016_C37-05		2016-04-18	08:31+0800								Point count	6 observer-minutes	31415.93	square metre			C37-05_01							Taiwan	TW				塔塔加												23.491426	120.891705	wgs84	100	0.00001																																																		Regulus goodfellowi												Regulidae	Regulus							火冠戴菊鳥						
1836813884																										TWBBS_2016_C37-05_01_02:014804																												Event									HumanObservation				TWBBS_2016_C37-05_01_02:014804			廖俊傑	2																NA									TWBBS_2016_C37-05_01_02	TWBBS_2016_C37-05		2016-06-23	07:21+0800								Point count	6 observer-minutes	31415.93	square metre			C37-05_01							Taiwan	TW				塔塔加												23.491426	120.891705	wgs84	100	0.00001																																																		Brachypteryx montana												Muscicapidae	Brachypteryx							小翼鶇						
1836813806																										TWBBS_2016_C37-04_01_02:014868																												Event									HumanObservation				TWBBS_2016_C37-04_01_02:014868			廖俊傑	2																NA									TWBBS_2016_C37-04_01_02	TWBBS_2016_C37-04		2016-06-23	08:24+0800								Point count	6 observer-minutes	31415.93	square metre			C37-04_01							Taiwan	TW				塔塔加鞍部												23.521923	120.895078	wgs84	100	0.00001																																																		Cuculus optatus												Cuculidae	Cuculus							北方中杜鵑						
1836813784																										TWBBS_2016_C37-04_01_01:014586																												Event									HumanObservation				TWBBS_2016_C37-04_01_01:014586			廖俊傑	1																NA									TWBBS_2016_C37-04_01_01	TWBBS_2016_C37-04		2016-04-17	06:17+0800								Point count	6 observer-minutes	31415.93	square metre			C37-04_01							Taiwan	TW				塔塔加鞍部												23.479172	120.891891	wgs84	100	0.00001																																																		Troglodytes troglodytes												Troglodytidae	Troglodytes							鷦鷯						
1836812913																										TWBBS_2016_C30-04_02_02:043410																												Event									HumanObservation				TWBBS_2016_C30-04_02_02:043410			蘇美如	2																NA									TWBBS_2016_C30-04_02_02	TWBBS_2016_C30-04		2016-06-22	07:01+0800								Point count	6 observer-minutes	31415.93	square metre			C30-04_02							Taiwan	TW				昆陽												24.118937	121.25716	wgs84	100	0.00001																																																		Muscicapa ferruginea												Muscicapidae	Muscicapa							紅尾鶲						
1836812905																										TWBBS_2016_C30-04_01_02:043408																												Event									HumanObservation				TWBBS_2016_C30-04_01_02:043408			蘇美如	1																NA									TWBBS_2016_C30-04_01_02	TWBBS_2016_C30-04		2016-05-19	05:06+0800								Point count	6 observer-minutes	31415.93	square metre			C30-04_01							Taiwan	TW				昆陽												24.005897	120.672559	wgs84	100	0.00001																																																		Cuculus optatus												Cuculidae	Cuculus							北方中杜鵑						
1836812893																										TWBBS_2016_C30-04_01_02:043406																												Event									HumanObservation				TWBBS_2016_C30-04_01_02:043406			蘇美如	1																NA									TWBBS_2016_C30-04_01_02	TWBBS_2016_C30-04		2016-05-19	05:06+0800								Point count	6 observer-minutes	31415.93	square metre			C30-04_01							Taiwan	TW				昆陽												24.005897	120.672559	wgs84	100	0.00001																																																		Trochalopteron morrisonianum												Leiothrichidae	Trochalopteron							台灣噪眉						
1836812885																										TWBBS_2016_C30-04_02_02:043413																												Event									HumanObservation				TWBBS_2016_C30-04_02_02:043413			蘇美如	1																NA									TWBBS_2016_C30-04_02_02	TWBBS_2016_C30-04		2016-06-22	07:01+0800								Point count	6 observer-minutes	31415.93	square metre			C30-04_02							Taiwan	TW				昆陽												24.118937	121.25716	wgs84	100	0.00001																																																		Tarsiger indicus												Muscicapidae	Tarsiger							白眉林鴝						
1836812881																										TWBBS_2016_C30-04_01_02:043403																												Event									HumanObservation				TWBBS_2016_C30-04_01_02:043403			蘇美如	1																NA									TWBBS_2016_C30-04_01_02	TWBBS_2016_C30-04		2016-05-19	05:06+0800								Point count	6 observer-minutes	31415.93	square metre			C30-04_01							Taiwan	TW				昆陽												24.005897	120.672559	wgs84	100	0.00001																																																		Tarsiger indicus												Muscicapidae	Tarsiger							白眉林鴝						
1836812874																										TWBBS_2016_C30-04_02_02:043412																												Event									HumanObservation				TWBBS_2016_C30-04_02_02:043412			蘇美如	1																NA									TWBBS_2016_C30-04_02_02	TWBBS_2016_C30-04		2016-06-22	07:01+0800								Point count	6 observer-minutes	31415.93	square metre			C30-04_02							Taiwan	TW				昆陽												24.118937	121.25716	wgs84	100	0.00001																																																		Yuhina brunneiceps												Zosteropidae	Yuhina							冠羽畫眉						
1836812870																										TWBBS_2016_C30-04_02_02:043409																												Event									HumanObservation				TWBBS_2016_C30-04_02_02:043409			蘇美如	2																NA									TWBBS_2016_C30-04_02_02	TWBBS_2016_C30-04		2016-06-22	07:01+0800								Point count	6 observer-minutes	31415.93	square metre			C30-04_02							Taiwan	TW				昆陽												24.118937	121.25716	wgs84	100	0.00001																																																		Tarsiger johnstoniae												Muscicapidae	Tarsiger							栗背林鴝						
1836812866																										TWBBS_2016_C30-04_01_02:043404																												Event									HumanObservation				TWBBS_2016_C30-04_01_02:043404			蘇美如	1																NA									TWBBS_2016_C30-04_01_02	TWBBS_2016_C30-04		2016-05-19	05:06+0800								Point count	6 observer-minutes	31415.93	square metre			C30-04_01							Taiwan	TW				昆陽												24.005897	120.672559	wgs84	100	0.00001																																																		Tarsiger indicus												Muscicapidae	Tarsiger							白眉林鴝						
1836812862																										TWBBS_2016_C30-04_02_02:043411																												Event									HumanObservation				TWBBS_2016_C30-04_02_02:043411			蘇美如	1																NA									TWBBS_2016_C30-04_02_02	TWBBS_2016_C30-04		2016-06-22	07:01+0800								Point count	6 observer-minutes	31415.93	square metre			C30-04_02							Taiwan	TW				昆陽												24.118937	121.25716	wgs84	100	0.00001																																																		Cuculus optatus												Cuculidae	Cuculus							北方中杜鵑						
