"name","output","price","value"
"其他綠肥"," 3640 "," 14000 ","50958"
"青皮豆"," 10045 "," 14000 ","140632"
"油菜"," 7585 "," 14000 ","106194"
"太陽麻"," 18620 "," 14000 ","260679"
"大豆"," 4397 "," 14000 ","61557"
"田菁"," 21506 "," 14000 ","301080"
"其他"," 369132 ","1658 ","612037"
"狼尾草","284020 "," 1150 ","326624"
"盤固拉","209512 "," 1040 ","217892"
"盆花類(公頃)"," 1036 "," 1049201 ","1086552"
"苗圃類(公頃)"," 9474 "," 455860 ","4318749"
"種籽類"," 6 "," 900000 ","5524"
"球根類"," 12 "," 43000 ","516"
"蘭花"," 80242 "," 65821 ","5281590"
"玉蘭花","115 "," 103000 ","11836"
"其他切花","16644 "," 63524 ","1057297"
"天堂鳥"," 574 "," 104160 ","59750"
"非洲菊"," 5665 "," 42000 ","237926"
"火鶴花"," 3399 "," 120720 ","410336"
"滿天星"," 347 "," 47380 ","16448"
"玫瑰"," 7484 "," 68400 ","511911"
"百合"," 5567 "," 294526 ","1639748"
"香石竹"," 2243 "," 40800 ","91498"
"洋桔梗"," 2138 "," 115680 ","247320"
"大理花"," 154 "," 115800 ","17789"
"夜來香"," 796 "," 68520 ","54549"
"唐菖蒲"," 2108 "," 48720 ","102699"
"菊花"," 14719 "," 59779 ","879897"
"其他青果類","88074","38770","3414660"
"可可椰子","19561","10230","200106"
"百香果","25578","47440","1213402"
"番荔枝","59115","89903","5314664"
"棗","32800","55960","1835475"
"木瓜","127244","27790","3536104"
"蘋果","1619","57100","92447"
"梨","118649","57440","6815188"
"楊桃","8865","22270","197423"
"橄欖","1591","16400","26092"
"荔枝","78668","54170","4261447"
"梅","17382","31406","545912"
"柿","84301","64460","5434014"
"桃","22506","69720","1569124"
"李","13080","47920","626800"
"枇杷","7100","159200","1130352"
"葡萄","97799","64480","6306090"
"蓮霧","48939","59280","2901086"
"番石榴","176304","26390","4652654"
"檳榔","102918","89000","9159703"
"芒果","146672","47773","7007002"
"龍眼","77198","40000","3087915"
"其他雜柑類","60465","25336","1531957"
"葡萄柚","8682","22630","196471"
"檸檬","41431","30870","1278990"
"柳橙","142397","19530","2781017"
"白柚","10850","30200","327670"
"斗柚","979","30200","29566"
"文旦柚","60895","33850","2061296"
"桶柑","52023","24430","1270922"
"椪柑","108058","26410","2853812"
"鳳梨","493998","21280","10512277"
"香蕉","274066","20620","5651241"
"其他菇類","9482","183586","1740741"
"金針菇","21537","34800","749471"
"香菇","5665","1528960","8661381"
"洋菇","5054","111800","564983"
"草莓","8810","160780","1416485"
"洋香瓜","34755","34430","1196600"
"香瓜","22968","32700","751068"
"西瓜","220846","14120","3118345"
"其他果菜類","176424","27800","4904508"
"毛豆","84490","15220","1285937"
"荷蘭豆","3860","56740","219008"
"菜豆","10789","39890","430359"
"番椒","29307","33925","994228"
"蕃茄","108082","35860","3875817"
"茄子","34561","22760","786613"
"苦瓜","30225","35480","1072372"
"冬瓜","22643","11950","270583"
"胡瓜","51224","23890","1223730"
"越瓜","3232","11000","35555"
"金針菜","340","607810","206772"
"花椰菜","68515","28005","1918743"
"其他葉菜類","337223","20027","6753450"
"不結球白菜","93754","19090","1789755"
"結球白菜","87252","11070","965882"
"甘藍","431968","13020","5624221"
"芹菜","26498","28900","765782"
"甕菜","37172","30330","1127431"
"大芥菜","38213","10890","416138"
"其他莖菜類","30997","0","0"
"荸薺","116","62300","7222"
"蘆筍","2582","129670","334748"
"竹筍","250989","50930","12782859"
"韭菜","22960","28270","649086"
"茭白筍","46189","59830","2763463"
"蒜頭","52016","54180","2818216"
"蒜","8059","40770","328567"
"洋蔥","75768","11520","872842"
"馬鈴薯","62287","22360","1392737"
"蔥頭","13495","42600","574876"
"蔥","117210","31710","3716716"
"芋","42274","36320","1535388"
"薑","23372","46980","1098037"
"其他根菜類","10749","20909","224754"
"胡蘿蔔","114388","11170","1277713"
"蘿蔔","95017","7750","736380"
"其他特用作物","22728","153975","3499482 "
"山藥","15729","36930","580864 "
"香花作物","186","697751","129459 "
"樹薯","609","20000","12190 "
"芝麻","1886","215270","406007 "
"菸草"," 0 "," 0 ","0 "
"茶葉","14738","507370","7477440 "
"生食用甘蔗","43093","10510","452904 "
"製糖甘蔗","578778","964","557942 "
